MonitoringLocationName,MonitoringLocationIdentifier,Latitude,Longitude,DateTime_AST,Nitrogen,sig_letter
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2023-05-15T10:15:00Z,0.655,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2023-09-05T10:55:00Z,0.284,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2023-12-01T12:59:00Z,0.502,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-01-31T12:08:00Z,0.508,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-05-25T11:32:00Z,0.349,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-09-09T11:35:00Z,0.317,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2024-12-18T10:06:00Z,0.463,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2025-02-04T09:15:00Z,0.477,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-32B,18.33499,-64.91995,2025-06-18T12:42:00Z,0.455,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2022-11-03T12:09:00Z,0.352,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-01-12T10:42:00Z,0.446,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-05-15T10:28:00Z,0.355,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-09-05T11:06:00Z,0.364,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2023-12-01T13:05:00Z,0.323,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-01-31T12:20:00Z,0.533,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-05-25T11:27:00Z,0.301,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-09-09T11:43:00Z,0.316,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2024-12-18T10:16:00Z,0.436,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2025-02-04T09:22:00Z,0.529,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33A,18.33688,-64.92186,2025-06-18T12:48:00Z,0.371,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2022-11-03T12:15:00Z,0.39,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-01-12T10:52:00Z,0.427,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-05-15T10:33:00Z,0.474,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-09-05T11:10:00Z,0.352,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-09-05T11:16:00Z,0.355,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2023-12-01T13:10:00Z,0.357,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2024-01-31T12:28:00Z,0.456,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2024-05-25T11:23:00Z,0.369,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2024-09-09T11:49:00Z,0.418,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2024-12-18T10:21:00Z,0.593,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2025-02-04T09:27:00Z,0.56,a
Yacht Haven Grand,EPAR2_USVIBAWQMP_WQX-STT-33B,18.3373,-64.92277,2025-06-18T12:56:00Z,0.324,a
