Tile P_Hoto ,Point,ID,Location_Day,Observer,Notes
YHG2_Orange_Week4_Day15,25,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,26,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,27,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,28,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,29,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,30,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,31,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,32,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,33,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,34,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,35,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,36,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,37,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,38,P_S,YHG_15,NCD,
YHG2_Orange_Week4_Day15,39,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,40,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,41,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,42,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,43,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,44,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,45,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,46,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,47,Sed,YHG_15,NCD,
YHG2_Orange_Week4_Day15,48,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,49,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,50,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,51,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,52,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,53,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,54,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,55,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,56,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,57,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,58,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,59,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,60,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,61,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,62,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,63,Sed,YHG_15,NCD,
YHG2_Orange_Week4_Day15,64,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,65,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,66,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,67,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,68,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,69,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,70,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,71,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,72,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,73,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,74,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,75,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,76,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,77,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,78,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,79,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,80,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,81,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,82,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,83,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,84,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,85,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,86,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,87,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,88,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,89,Sed,YHG_15,NCD,
YHG2_Orange_Week4_Day15,90,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,91,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,92,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,93,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,94,Sed,YHG_15,NCD,
YHG2_Orange_Week4_Day15,95,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,96,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,97,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,98,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,99,OS,YHG_15,NCD,
YHG2_Orange_Week4_Day15,100,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,1,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,2,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,3,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,4,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,5,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,6,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,7,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,8,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,9,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,10,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,11,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,12,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,13,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,14,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,15,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,16,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,17,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,18,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,19,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,20,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,21,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,22,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,23,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,24,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,25,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,26,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,27,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,28,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,29,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,30,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,31,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,32,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,33,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,34,P_S,YHG_15,NCD,
YHG3_Green_Week4_Day15,35,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,36,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,37,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,38,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,39,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,40,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,41,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,42,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,43,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,44,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,45,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,46,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,47,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,48,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,49,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,50,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,51,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,52,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,53,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,54,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,55,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,56,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,57,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,58,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,59,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,60,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,61,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,62,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,63,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,64,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,65,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,66,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,67,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,68,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,69,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,70,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,71,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,72,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,73,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,74,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,75,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,76,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,77,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,78,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,79,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,80,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,81,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,82,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,83,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,84,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,85,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,86,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,87,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,88,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,89,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,90,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,91,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,92,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,93,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,94,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,95,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,96,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,97,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,98,Sed,YHG_15,NCD,
YHG3_Green_Week4_Day15,99,OS,YHG_15,NCD,
YHG3_Green_Week4_Day15,100,Sed,YHG_15,NCD,
YHG4_Blue_Week4_Day15,1,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,2,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,3,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,4,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,5,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,6,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,7,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,8,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,9,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,10,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,11,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,12,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,13,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,14,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,15,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,16,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,17,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,18,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,19,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,20,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,21,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,22,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,23,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,24,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,25,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,26,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,27,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,28,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,29,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,30,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,31,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,32,CB,YHG_15,GAC,
YHG4_Blue_Week4_Day15,33,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,34,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,35,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,36,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,37,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,38,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,39,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,40,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,41,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,42,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,43,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,44,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,45,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,46,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,47,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,48,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,49,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,50,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,51,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,52,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,53,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,54,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,55,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,56,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,57,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,58,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,59,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,60,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,61,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,62,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,63,P_H,YHG_15,GAC,
YHG4_Blue_Week4_Day15,64,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,65,P_H,YHG_15,GAC,
YHG4_Blue_Week4_Day15,66,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,67,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,68,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,69,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,70,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,71,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,72,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,73,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,74,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,75,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,76,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,77,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,78,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,79,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,80,CB,YHG_15,GAC,
YHG4_Blue_Week4_Day15,81,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,82,OS,YHG_15,GAC,
YHG4_Blue_Week4_Day15,83,CB,YHG_15,GAC,
YHG4_Blue_Week4_Day15,84,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,85,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,86,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,87,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,88,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,89,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,90,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,91,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,92,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,93,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,94,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,95,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,96,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,97,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,98,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,99,Sed,YHG_15,GAC,
YHG4_Blue_Week4_Day15,100,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,1,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,2,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,3,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,4,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,5,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,6,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,7,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,8,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,9,Turf,YHG_15,GAC,
YHG5_Clear_Week4_Day15,10,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,11,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,12,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,13,Sed,YHG_15,GAC,
YHG5_Clear_Week4_Day15,14,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,15,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,16,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,17,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,18,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,19,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,20,OS,YHG_15,GAC,
YHG5_Clear_Week4_Day15,21,Sed,YHG_15,GAC,
